ID,Link,Name,Rating,Price,Cuisines
1,https://www.swiggy.com/restaurants/bakingo-3rd-stage-banashankari-bangalore-420020,Bakingo,4.2,400 for two,"Bakery, Desserts"
2,https://www.swiggy.com/restaurants/kanti-sweets-gandhi-bazaar-gandhi-bazar-bangalore-285645,Kanti Sweets,4.5,100 for two,Sweets
3,https://www.swiggy.com/restaurants/kfc-vani-vilas-road-basavanagudi-bangalore-17301,KFC,4.1,400 for two,"Burgers, Biryani"
4,https://www.swiggy.com/restaurants/mcdonalds-gandhi-bazaar-main-road-basavangudi-bangalore-457522,McDonald&#39;s,4.2,400 for two,"Burgers, Beverages"
5,https://www.swiggy.com/restaurants/burger-king-gandhi-bazar-basavanagudi-bangalore-77949,Burger King,4.1,350 for two,"Burgers, American"
6,https://www.swiggy.com/restaurants/hari-super-sandwich-3rd-block-jayanagar-bangalore-47493,Hari Super Sandwich (3rd Block),4,100 for two,"Chaat, Snacks"
7,https://www.swiggy.com/restaurants/lavonne-st-marks-road-bangalore-281469,Lavonne,4.6,750 for two,"Bakery, Desserts"
8,https://www.swiggy.com/restaurants/wow-momo-lullu-india-shopping-mall-rajajinagar-bangalore-427064,Wow! Momo,4,250 for two,"Tibetan, Healthy Food"
9,https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-ank-rao-road-basavanagudi-bangalore-405396,Kwality Walls Frozen Dessert and Ice Cream Shop,4.6,300 for two,"Desserts, Ice Cream"
10,https://www.swiggy.com/restaurants/anand-sweets-4th-block-jayanagar-bangalore-593,Anand Sweets,4.5,300 for two,"Sweets, Chaat"
11,https://www.swiggy.com/restaurants/chaayos-chai-snacks-relax-sampige-road-malleshwaram-bangalore-415734,Chaayos Chai+Snacks=Relax,4.3,250 for two,"Bakery, Beverages"
12,https://www.swiggy.com/restaurants/cafe-amudham-lalbhagh-siddapura-jayanagar-bangalore-684427,Cafe Amudham,4.5,400 for two,"South Indian, Snacks"
13,https://www.swiggy.com/restaurants/puliyogare-point-n-r-colony-basavanagudi-bangalore-56428,Puliyogare Point,4.5,150 for two,South Indian
14,https://www.swiggy.com/restaurants/mulbagal-dosa-corner-1st-block-jayanagar-bangalore-454364,Mulbagal Dosa Corner,4.5,300 for two,South Indian
15,https://www.swiggy.com/restaurants/natraj-chole-bhature-4th-block-east-jayanagar-bangalore-412840,Natraj Chole Bhature,4.2,299 for two,"Indian, Chaat"
16,https://www.swiggy.com/restaurants/theobroma-vittal-malya-road-ashok-nagar-bangalore-426730,Theobroma,4.6,500 for two,"Desserts, Bakery"
17,https://www.swiggy.com/restaurants/simpli-namdharis-1st-block-jaya-nagar-bangalore-271191,Simpli Namdhari&#39;s,4.1,350 for two,"Italian, Chinese"
18,https://www.swiggy.com/restaurants/richie-rich-sivananda-circle-race-course-road-bangalore-46650,Richie Rich,4.4,500 for two,"Desserts, Snacks"
19,https://www.swiggy.com/restaurants/by-2-coffee-chamrajpet-chamarajpet-bangalore-85320,By 2 Coffee,4.5,100 for two,South Indian
20,https://www.swiggy.com/restaurants/sri-venkateshwara-sweet-meat-stall-gandhi-bazaar-main-road-basavanagudi-bangalore-313198,Sri Venkateshwara Sweet Meat Stall,4.5,300 for two,"Snacks, Sweets"
21,https://www.swiggy.com/restaurants/roti-ghar-gandhi-bazaar-main-road-basavanagudi-bangalore-94759,Roti Ghar,4.3,400 for two,"Chinese, South Indian"
