ID,Link,Dish Name,Price,Location,Ratings
1,https://www.swiggy.com/restaurants/bakingo-3rd-stage-banashankari-bangalore-420020,Black Forest Pastry,89,Banashankari,1K+ ratings
1,https://www.swiggy.com/restaurants/bakingo-3rd-stage-banashankari-bangalore-420020,Butterscotch Pastry,89,Banashankari,1K+ ratings
1,https://www.swiggy.com/restaurants/bakingo-3rd-stage-banashankari-bangalore-420020,Chocolate Jar Cake,109,Banashankari,1K+ ratings
1,https://www.swiggy.com/restaurants/bakingo-3rd-stage-banashankari-bangalore-420020,Blueberry Jar Cake,129,Banashankari,1K+ ratings
1,https://www.swiggy.com/restaurants/bakingo-3rd-stage-banashankari-bangalore-420020,Chocolate Snicker Cake,599,Banashankari,1K+ ratings
1,https://www.swiggy.com/restaurants/bakingo-3rd-stage-banashankari-bangalore-420020,Blueberry Bake Cheesecake Slice,149,Banashankari,1K+ ratings
1,https://www.swiggy.com/restaurants/bakingo-3rd-stage-banashankari-bangalore-420020,Classic Walnut Brownie,89,Banashankari,1K+ ratings
1,https://www.swiggy.com/restaurants/bakingo-3rd-stage-banashankari-bangalore-420020,Nutella Brownie,109,Banashankari,1K+ ratings
1,https://www.swiggy.com/restaurants/bakingo-3rd-stage-banashankari-bangalore-420020,Set of 2 Birthday Poster Chocolate Jar Cakes,329,Banashankari,1K+ ratings
1,https://www.swiggy.com/restaurants/bakingo-3rd-stage-banashankari-bangalore-420020,Set of 2 Anniversary Poster Chocolate Jar Cakes,329,Banashankari,1K+ ratings
2,https://www.swiggy.com/restaurants/kanti-sweets-gandhi-bazaar-gandhi-bazar-bangalore-285645,Rasgulla (1 Pc),28.57,Gandhi Bazar,1K+ ratings
2,https://www.swiggy.com/restaurants/kanti-sweets-gandhi-bazaar-gandhi-bazar-bangalore-285645,Balushahi,68.57,Gandhi Bazar,1K+ ratings
2,https://www.swiggy.com/restaurants/kanti-sweets-gandhi-bazaar-gandhi-bazar-bangalore-285645,Kesar Peda,76.19,Gandhi Bazar,1K+ ratings
2,https://www.swiggy.com/restaurants/kanti-sweets-gandhi-bazaar-gandhi-bazar-bangalore-285645,Malai Peda,114.28,Gandhi Bazar,1K+ ratings
2,https://www.swiggy.com/restaurants/kanti-sweets-gandhi-bazaar-gandhi-bazar-bangalore-285645,Kaju Phool,120,Gandhi Bazar,1K+ ratings
2,https://www.swiggy.com/restaurants/kanti-sweets-gandhi-bazaar-gandhi-bazar-bangalore-285645,Kaju Soan Papdi,80,Gandhi Bazar,1K+ ratings
2,https://www.swiggy.com/restaurants/kanti-sweets-gandhi-bazaar-gandhi-bazar-bangalore-285645,Bombay Halwa,68.57,Gandhi Bazar,1K+ ratings
2,https://www.swiggy.com/restaurants/kanti-sweets-gandhi-bazaar-gandhi-bazar-bangalore-285645,Ghee Jalebi,57.14,Gandhi Bazar,1K+ ratings
2,https://www.swiggy.com/restaurants/kanti-sweets-gandhi-bazaar-gandhi-bazar-bangalore-285645,Black And White,76.19,Gandhi Bazar,1K+ ratings
2,https://www.swiggy.com/restaurants/kanti-sweets-gandhi-bazaar-gandhi-bazar-bangalore-285645,Pheni,55.23,Gandhi Bazar,1K+ ratings
2,https://www.swiggy.com/restaurants/kanti-sweets-gandhi-bazaar-gandhi-bazar-bangalore-285645,Kaju Pista Katli,120,Gandhi Bazar,1K+ ratings
